Layer,From,N,Params,Module,Arguments
405,402,1,0,SiLU,[]
406,397,1,0,Conv2d,"kernel_size=(1, 1), stride=(1, 1), padding=(0, 0), dilation=(1, 1)"
407,396,1,0,Sequential,[]
408,407,1,0,Conv,[]
409,408,1,0,Conv2d,"kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), dilation=(1, 1)"
410,408,1,0,BatchNorm2d,[]
411,408,1,0,SiLU,[]
412,407,1,0,Conv,[]
413,412,1,0,Conv2d,"kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), dilation=(1, 1)"
414,412,1,0,BatchNorm2d,[]
415,412,1,0,SiLU,[]
416,407,1,0,Conv2d,"kernel_size=(1, 1), stride=(1, 1), padding=(0, 0), dilation=(1, 1)"
417,396,1,0,Sequential,[]
418,417,1,0,Conv,[]
419,418,1,0,Conv2d,"kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), dilation=(1, 1)"
420,418,1,0,BatchNorm2d,[]
421,418,1,0,SiLU,[]
422,417,1,0,Conv,[]
423,422,1,0,Conv2d,"kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), dilation=(1, 1)"
424,422,1,0,BatchNorm2d,[]
425,422,1,0,SiLU,[]
426,417,1,0,Conv2d,"kernel_size=(1, 1), stride=(1, 1), padding=(0, 0), dilation=(1, 1)"
427,395,1,0,ModuleList,[]
428,427,1,0,Sequential,[]
429,428,1,0,Conv,[]
430,429,1,0,Conv2d,"kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), dilation=(1, 1)"
431,429,1,0,BatchNorm2d,[]
432,429,1,0,SiLU,[]
433,428,1,0,Conv,[]
434,433,1,0,Conv2d,"kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), dilation=(1, 1)"
435,433,1,0,BatchNorm2d,[]
436,433,1,0,SiLU,[]
437,428,1,0,Conv2d,"kernel_size=(1, 1), stride=(1, 1), padding=(0, 0), dilation=(1, 1)"
438,427,1,0,Sequential,[]
439,438,1,0,Conv,[]
440,439,1,0,Conv2d,"kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), dilation=(1, 1)"
441,439,1,0,BatchNorm2d,[]
442,439,1,0,SiLU,[]
443,438,1,0,Conv,[]
444,443,1,0,Conv2d,"kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), dilation=(1, 1)"
445,443,1,0,BatchNorm2d,[]
446,443,1,0,SiLU,[]
447,438,1,0,Conv2d,"kernel_size=(1, 1), stride=(1, 1), padding=(0, 0), dilation=(1, 1)"
448,427,1,0,Sequential,[]
449,448,1,0,Conv,[]
450,449,1,0,Conv2d,"kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), dilation=(1, 1)"
451,449,1,0,BatchNorm2d,[]
452,449,1,0,SiLU,[]
453,448,1,0,Conv,[]
454,453,1,0,Conv2d,"kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), dilation=(1, 1)"
455,453,1,0,BatchNorm2d,[]
456,453,1,0,SiLU,[]
457,448,1,0,Conv2d,"kernel_size=(1, 1), stride=(1, 1), padding=(0, 0), dilation=(1, 1)"
458,395,1,0,DFL,[]
459,458,1,0,Conv2d,"kernel_size=(1, 1), stride=(1, 1), padding=(0, 0), dilation=(1, 1)"
460,395,1,0,Proto,[]
461,460,1,0,Conv,[]
462,461,1,0,Conv2d,"kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), dilation=(1, 1)"
463,461,1,0,BatchNorm2d,[]
464,461,1,0,SiLU,[]
465,460,1,0,ConvTranspose2d,"kernel_size=(2, 2), stride=(2, 2), padding=(0, 0), dilation=(1, 1)"
466,460,1,0,Conv,[]
467,466,1,0,Conv2d,"kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), dilation=(1, 1)"
468,466,1,0,BatchNorm2d,[]
469,466,1,0,SiLU,[]
470,460,1,0,Conv,[]
471,470,1,0,Conv2d,"kernel_size=(1, 1), stride=(1, 1), padding=(0, 0), dilation=(1, 1)"
472,470,1,0,BatchNorm2d,[]
473,470,1,0,SiLU,[]
474,395,1,0,ModuleList,[]
475,474,1,0,Sequential,[]
476,475,1,0,Conv,[]
477,476,1,0,Conv2d,"kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), dilation=(1, 1)"
478,476,1,0,BatchNorm2d,[]
479,476,1,0,SiLU,[]
480,475,1,0,Conv,[]
481,480,1,0,Conv2d,"kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), dilation=(1, 1)"
482,480,1,0,BatchNorm2d,[]
483,480,1,0,SiLU,[]
484,475,1,0,Conv2d,"kernel_size=(1, 1), stride=(1, 1), padding=(0, 0), dilation=(1, 1)"
485,474,1,0,Sequential,[]
486,485,1,0,Conv,[]
487,486,1,0,Conv2d,"kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), dilation=(1, 1)"
488,486,1,0,BatchNorm2d,[]
489,486,1,0,SiLU,[]
490,485,1,0,Conv,[]
491,490,1,0,Conv2d,"kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), dilation=(1, 1)"
492,490,1,0,BatchNorm2d,[]
493,490,1,0,SiLU,[]
494,485,1,0,Conv2d,"kernel_size=(1, 1), stride=(1, 1), padding=(0, 0), dilation=(1, 1)"
495,474,1,0,Sequential,[]
496,495,1,0,Conv,[]
497,496,1,0,Conv2d,"kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), dilation=(1, 1)"
498,496,1,0,BatchNorm2d,[]
499,496,1,0,SiLU,[]
500,495,1,0,Conv,[]
501,500,1,0,Conv2d,"kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), dilation=(1, 1)"
502,500,1,0,BatchNorm2d,[]
503,500,1,0,SiLU,[]
504,495,1,0,Conv2d,"kernel_size=(1, 1), stride=(1, 1), padding=(0, 0), dilation=(1, 1)"
